"No.","Time","Source","Destination","Protocol","Length","Info","Source Port","Destination Port","TCP Length","TCP Sequence","TCP ACK Number","TCP Raw ACK Number","HTTP Content Length"
"1","0.000000","2405:200:1608:1731::b854:e863","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","UDP","85","443  >  59773 Len=23","","","","","","",""
"2","0.000174","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","2405:200:1608:1731::b854:e863","UDP","93","59773  >  443 Len=31","","","","","","",""
"3","0.029175","2405:200:1608:1731::b854:e863","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","UDP","86","443  >  59773 Len=24","","","","","","",""
"4","0.141705","2405:200:1608:1731::b854:e863","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","UDP","576","443  >  59773 Len=514","","","","","","",""
"5","0.141705","2405:200:1608:1731::b854:e863","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","UDP","83","443  >  59773 Len=21","","","","","","",""
"6","0.141705","2405:200:1608:1731::b854:e863","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","UDP","1514","443  >  59773 Len=1452","","","","","","",""
"7","0.142347","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","2405:200:1608:1731::b854:e863","UDP","97","59773  >  443 Len=35","","","","","","",""
"8","0.177507","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","2405:200:1608:1731::b854:e863","UDP","94","59773  >  443 Len=32","","","","","","",""
"9","0.211213","2405:200:1608:1731::b854:e863","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","UDP","86","443  >  59773 Len=24","","","","","","",""
"10","2.893574","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","2404:6800:4007:834::200a","UDP","91","52205  >  443 Len=29","","","","","","",""
"11","2.985192","2404:6800:4007:834::200a","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","UDP","91","443  >  52205 Len=29","","","","","","",""
"12","6.709405","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","2600:1901:1:7c5::","UDP","1053","52114  >  443 Len=991","","","","","","",""
"13","6.790805","2600:1901:1:7c5::","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","UDP","90","443  >  52114 Len=28","","","","","","",""
"14","6.829241","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","2600:1901:1:7c5::","UDP","94","52114  >  443 Len=32","","","","","","",""
"15","6.882026","2600:1901:1:7c5::","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","UDP","127","443  >  52114 Len=65","","","","","","",""
"16","6.908212","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","2600:1901:1:7c5::","UDP","98","52114  >  443 Len=36","","","","","","",""
"17","6.984792","2600:1901:1:7c5::","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","UDP","86","443  >  52114 Len=24","","","","","","",""
"18","7.434178","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","2600:1901:1:304::","TLSv1.2","102","Application Data","59209","443","28","1","1","1643077742",""
"19","7.519379","2600:1901:1:304::","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","TCP","74","443  >  59209 [ACK] Seq=1 Ack=29 Win=1049 Len=0","443","59209","0","1","29","2358155649",""
"20","8.485465","2404:6800:4007:834::200a","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","UDP","180","443  >  52205 Len=118","","","","","","",""
"21","8.503808","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","2404:6800:4007:834::200a","UDP","95","52205  >  443 Len=33","","","","","","",""
"22","8.695250","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","2404:6800:4007:834::200a","UDP","91","52205  >  443 Len=29","","","","","","",""
"23","8.781754","2404:6800:4007:834::200a","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","UDP","91","443  >  52205 Len=29","","","","","","",""
"24","8.983398","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","2404:6800:4007:834::200a","UDP","91","52205  >  443 Len=29","","","","","","",""
"25","9.082888","2404:6800:4007:834::200a","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","UDP","91","443  >  52205 Len=29","","","","","","",""
"26","9.286582","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","2404:6800:4007:834::200a","UDP","91","52205  >  443 Len=29","","","","","","",""
"27","9.385510","2404:6800:4007:834::200a","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","UDP","91","443  >  52205 Len=29","","","","","","",""
"28","9.589823","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","2404:6800:4007:834::200a","UDP","91","52205  >  443 Len=29","","","","","","",""
"29","9.659690","2404:6800:4007:834::200a","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","UDP","91","443  >  52205 Len=29","","","","","","",""
"30","9.874006","fe80::cc2d:b7ff:fee9:fa64","ff02::1","ICMPv6","142","Router Advertisement from ce:2d:b7:e9:fa:64","","","","","","",""
"31","9.875607","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","2404:6800:4007:834::200a","UDP","91","52205  >  443 Len=29","","","","","","",""
"32","9.946551","2404:6800:4007:834::200a","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","UDP","91","443  >  52205 Len=29","","","","","","",""
"33","10.162841","2409:408c:be9e:ad59:c19b:9a93:1a40:7e9f","2404:6800:4007:834::200a","UDP","91","52205  >  443 Len=29","","","","","","",""
